path	translation	split
common_voice_mn_18785480.mp3	I became too thin and weak because of eating such foods.	test
common_voice_mn_18580938.mp3	How would you feel if your skin is removed from you” the protestors for the animal right asked.	test
common_voice_mn_18577175.mp3	We will not support the organizations that do not do renewal, do not support the rural area, and hide their income statement.	test
common_voice_mn_19491467.mp3	The lexicon provides information about the relationship and form of words within the context.	test
common_voice_mn_18599963.mp3	They think they will eat food as they learned.	test
common_voice_mn_18709604.mp3	They say, “Bankruptcy was planned” and then united with “Golomt” bank to receive good share from it.	test
common_voice_mn_18577805.mp3	Eventually managers will face need to monitor and modify business operation like that.	test
common_voice_mn_18577654.mp3	They take bath in a spring cold water, sprinkling from the depth and have fun, making noise.	test
common_voice_mn_18577604.mp3	Meantime, I bought you a new smoking.	test
common_voice_mn_19513595.mp3	The Golden Ganjuur shall be recited for reaping the virtues of the present and the next life.	test
common_voice_mn_19492701.mp3	The singer wanted to say a word, but she had no strength.	test
common_voice_mn_18653124.mp3	Let’s go home before our words go longer.	test
common_voice_mn_18584585.mp3	Udval and Uyanga kept sitting on opposite sides of the living room table.	test
common_voice_mn_18584587.mp3	It is true that life is full of surprises.	test
common_voice_mn_18705157.mp3	Your humble servant has been serving you with courage.	test
common_voice_mn_18705160.mp3	This market has a large variety of shops like other Asian markets.	test
common_voice_mn_18582705.mp3	Mary stands, trying to take control of her body.	test
common_voice_mn_18582706.mp3	Mongolian writing has carried out every knowledge that created by Mongolian intellect.	test
common_voice_mn_18628213.mp3	I am very calculating person.	test
common_voice_mn_18628216.mp3	The day before yesterday you have passed by our house.	test
common_voice_mn_18747201.mp3	Then I became red.	test
common_voice_mn_18747202.mp3	Who could criticize him/her for his/her doings?	test
common_voice_mn_18999984.mp3	New features such as adding photo, tagging friend’s name in the article are being developed for the Instagram users.	test
common_voice_mn_18999986.mp3	I was going inattentively and skewed from the saddle and lying on the ground in an instant.	test
common_voice_mn_18579237.mp3	Mr. Barbara, I will give the instruction.	test
common_voice_mn_18579238.mp3	This is not an Italian name so it’s difficult to remember.	test
common_voice_mn_18668064.mp3	She suddenly realized she didn’t give a tea to Namdag grandma.	test
common_voice_mn_18668065.mp3	We have concluded that Russian have noticed us coming into and out from this house.	test
common_voice_mn_18580841.mp3	Ireedui has one very good quality.	test
common_voice_mn_18580843.mp3	Then she asked her husband to bring the herbs.	test
common_voice_mn_18635143.mp3	As I mentioned earlier, globalization had the same meaning of becoming "Chinese" for the Deed Mongols.	test
common_voice_mn_18635145.mp3	If I knocked down that rock, I would be sitting right here.	test
common_voice_mn_18577463.mp3	Mungun is the colt of that stallion.	test
common_voice_mn_18577465.mp3	Today Prince Harry of Great Britain and Hollywood actress Meghan Markle are getting married.	test
common_voice_mn_18577468.mp3	We will bring him back after asking this guy a few questions.	test
common_voice_mn_18986306.mp3	In order to get a result, they were receiving a calculated prices and at least they were responsible in an official manner.	test
common_voice_mn_18986307.mp3	He was aware of the fact that prince doesn’t like it when it comes to protecting women.	test
common_voice_mn_18986308.mp3	The journalist was leaning against wall and lying on the floor.	test
common_voice_mn_18584009.mp3	I’m only worried if he can get used to farming work.	test
common_voice_mn_18584010.mp3	Only a scientist can figure this out.	test
common_voice_mn_18584011.mp3	Gansukh didn't go outside to play with kids, but instead, he just walked around the house.	test
